Change Component Footprint: Designator=L1 Old Footprint=FP-IHLP-2525CZ-FP_2_413x3-MFG New Footprint=FP-IHLP-2020BZ-FP_1_905x2-MFG
Change Component Comment : Designator=L1 Old Comment=4.7uH 5,5A New Comment=4.7uH, 2.8A
Change Managed Component Library Link : Designator=L1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=9DF0F6D3-8626-4465-9747-177095F221ED New ItemGUID=901D6E7A-21FB-405A-9D68-7D98C152DF7F Old RevisionGUID=10F96ABA-AC66-4E85-A9F4-5AC9EC61F87C New RevisionGUID=EBEE9052-EBCB-4074-91DF-BD8F3F0E38C8
Change component parameters: Designator = "L1" ("L1"); Footprint = "FP-IHLP-2525CZ-FP_2_413x3-MFG"; UniqueID = "\NPAAKYMC" ("\NPAAKYMC")
Change component parameters (AddParameter): Name = "Case/Package"; Value = "2020"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Core Material"; Value = "Metal"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "2.8A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance (DCR)"; Value = "116.6mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "5.43mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.079inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inductance"; Value = "4.7uH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inductance Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "5.49mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max DC Current"; Value = "3A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RMS Current (Irms)"; Value = "2.8A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Saturation Current"; Value = "5A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Self Resonant Frequency"; Value = "28MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shielding"; Value = "Shielded"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Test Frequency"; Value = "100kHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.204inch"; VariantName = "[No Variations]"
Added Room: Name=IMU
Added Room: Name=PlacaMãe_Raw
